SID,SVOLT,SOV,TORN,SORN,TSN,TEMP,CURRENT
531,48.0,0.0,8,1,3-12-4527,37.312,-6.294523e-08
531,48.0,0.0,8,2,3-12-4527,37.312,-6.114373e-08
531,48.0,0.0,8,3,3-12-4527,37.375,-6.367327e-08
531,48.0,0.0,8,4,3-12-4527,37.375,-5.820943e-08
531,48.0,0.0,8,5,3-12-4527,37.375,-6.547402e-08
531,48.0,0.0,8,6,3-12-4527,37.437,-6.38632e-08
531,48.0,0.0,8,7,3-12-4527,37.437,-6.193188e-08
531,48.0,0.0,8,8,3-12-4527,37.437,-5.884147e-08
531,48.0,0.0,8,9,3-12-4527,37.437,-5.993769e-08
531,48.0,0.0,8,10,3-12-4527,37.5,-6.452357e-08
531,48.0,0.0,8,11,3-12-4527,37.5,-6.318557e-08
531,48.0,0.0,8,12,3-12-4527,37.5,-5.983546e-08
531,48.0,0.0,8,13,3-12-4527,37.562,-6.041707e-08
531,48.0,0.0,8,14,3-12-4527,37.562,-6.375753e-08
531,48.0,0.0,8,15,3-12-4527,37.562,-5.897205e-08
531,48.0,0.0,8,16,3-12-4527,37.562,-5.692676e-08
531,48.0,0.0,9,1,3-12-4528,36.5,-5.797164e-08
531,48.0,0.0,9,2,3-12-4528,36.562,-6.27337e-08
531,48.0,0.0,9,3,3-12-4528,36.562,-6.444258e-08
531,48.0,0.0,9,4,3-12-4528,36.625,-6.445919e-08
531,48.0,0.0,9,5,3-12-4528,36.625,-5.995201e-08
531,48.0,0.0,9,6,3-12-4528,36.625,-6.296233e-08
531,48.0,0.0,9,7,3-12-4528,36.687,-6.700737e-08
531,48.0,0.0,9,8,3-12-4528,36.687,-6.64679e-08
531,48.0,0.0,9,9,3-12-4528,36.687,-5.967502e-08
531,48.0,0.0,9,10,3-12-4528,36.75,-6.115117e-08
531,48.0,0.0,9,11,3-12-4528,36.75,-6.576468e-08
531,48.0,0.0,9,12,3-12-4528,36.75,-6.555472e-08
531,48.0,0.0,9,13,3-12-4528,36.812,-6.102684e-08
531,48.0,0.0,9,14,3-12-4528,36.812,-6.050807e-08
531,48.0,0.0,9,15,3-12-4528,36.812,-6.428305e-08
531,48.0,0.0,9,16,3-12-4528,36.812,-6.731132e-08
531,48.0,0.0,10,1,3-12-4529,38.312,-7.018767e-08
531,48.0,0.0,10,2,3-12-4529,38.312,-8.251408e-08
531,48.0,0.0,10,3,3-12-4529,38.375,-7.417878e-08
531,48.0,0.0,10,4,3-12-4529,0.0,-6.987752e-08
531,48.0,0.0,10,5,3-12-4529,38.375,-6.622557e-08
531,48.0,0.0,10,6,3-12-4529,38.437,-8.678079e-08
531,48.0,0.0,10,7,3-12-4529,38.437,-7.483641e-08
531,48.0,0.0,10,8,3-12-4529,38.5,-7.357789e-08
531,48.0,0.0,10,9,3-12-4529,38.5,-7.00737e-08
531,48.0,0.0,10,10,3-12-4529,38.5,-8.147173e-08
531,48.0,0.0,10,11,3-12-4529,38.5,-7.73597e-08
531,48.0,0.0,10,12,3-12-4529,38.562,-7.144276e-08
531,48.0,0.0,10,13,3-12-4529,38.562,-6.744129e-08
531,48.0,0.0,10,14,3-12-4529,38.562,-8.091153e-08
531,48.0,0.0,10,15,3-12-4529,38.562,-7.421546e-08
531,48.0,0.0,10,16,3-12-4529,38.562,-7.142414e-08
531,48.0,0.0,11,1,3-12-4530,38.375,-6.904025e-08
531,48.0,0.0,11,2,3-12-4530,38.375,-7.224607e-08
531,48.0,0.0,11,3,3-12-4530,38.437,-6.792538e-08
531,48.0,0.0,11,4,3-12-4530,38.437,-7.071113e-08
531,48.0,0.0,11,5,3-12-4530,38.5,-7.234343e-08
531,48.0,0.0,11,6,3-12-4530,38.5,-7.24139e-08
531,48.0,0.0,11,7,3-12-4530,38.562,-6.87902e-08
531,48.0,0.0,11,8,3-12-4530,38.562,-6.925301e-08
